,,,,,,,,,,,,SRS,,,Adjusted,,
Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
122,Fresno State,Big West,,15,16,73.9,73.7,0.23,,2.26,,1.93,0.56,2.48,,,
123,Saint Joseph's,A-10,,13,15,77.6,78.4,-0.86,,5.1,,5.15,-2.75,2.39,,,
124,Washington,Pac-10,,12,17,65.9,67.7,-1.79,,8.9,,-6.9,9.28,2.38,,,
125,George Washington,A-10,,16,12,73.3,73.8,-0.5,,2.87,,1.92,0.45,2.37,,,
126,Baylor,SWC,,13,15,72.8,72.1,0.71,,1.22,,0.73,1.32,2.05,,,
127,Chattanooga,Southern,,23,7,80.9,71.9,8.97,,-3.98,,2.36,-0.34,2.02,,,
128,Arkansas State,Sun Belt,,17,11,66.4,65,1.36,,0.45,,-7.52,9.25,1.74,,,
129,Nevada,Big Sky,,19,10,84,80.7,3.31,,-1.53,,8.69,-7.04,1.65,,,
130,Murray State,OVC,,17,13,83.8,79.9,3.97,,-1.22,,7.29,-5.65,1.64,,,
131,Loyola (IL),MW Coll,,13,16,73.2,73.2,-0.03,,2.11,,0.21,1.39,1.6,,,
132,Gonzaga,WCC,,20,10,72.2,68.4,3.8,,-1.14,,-2.54,4.11,1.57,,,
133,Lamar,Sun Belt,,12,19,82.8,80.8,2.06,,-0.01,,9.64,-8.41,1.22,,,
134,Virginia Tech,Metro,,10,18,65.1,67.8,-2.71,,3.93,,-6.76,7.97,1.22,,,
135,Illinois State,MVC,,18,11,65.9,64.3,1.52,,-0.44,,-5.33,6.41,1.08,,,
136,Fordham,Patriot,,18,13,71.1,67.8,3.26,,-2.6,,-4.45,5.17,0.73,,,
137,Bowling Green State,MAC,,14,15,65.3,64,1.31,,-0.27,,-5.95,6.61,0.66,,,
138,Weber State,Big Sky,,16,13,80.4,76.6,3.76,,-2.17,,3.37,-2.8,0.58,,,
139,Santa Clara,WCC,,14,15,67.8,67.5,0.34,,1.5,,-6.83,7.34,0.5,,,
140,Delaware,NAC,,27,4,81.3,70.9,10.35,,-9.19,,3.07,-2.74,0.33,,,
141,Furman,Southern,,17,11,,,,,-3.9,,0.92,-0.7,0.22,,,
142,Loyola Marymount,WCC,,15,13,91.1,90.3,0.82,,-0.42,,17.69,-17.55,0.14,,,
143,Siena,MAAC,,19,10,73.5,70.2,3.31,,-2.68,,-0.87,0.98,0.11,,,
144,Indiana State,MVC,,13,15,60.6,62.8,-2.14,,2.22,,-7.89,7.97,0.08,,,
145,Illinois-Chicago,Mid-Cont,,16,14,76.2,73.6,2.57,,-2.32,,2.93,-2.87,0.06,,,
146,Detroit Mercy,MW Coll,,12,17,78.2,78.1,0.1,,-0.18,,4.53,-4.6,-0.07,,,
147,San Francisco,WCC,,13,16,80.3,80.3,-0.07,,-0.1,,5.74,-5.91,-0.17,,,
148,Pennsylvania,Ivy,,16,10,73,68.5,4.46,,-4.5,,-0.64,0.3,-0.34,,,
149,Colorado State,WAC,,14,17,66.7,68.2,-1.48,,3.71,,-5.52,4.73,-0.79,,,
150,Texas-San Antonio,Southland,,21,8,80.5,73.3,7.17,,-6.08,,4.1,-4.91,-0.81,,,
151,College of Charleston,Ind,,19,8,72.1,62.8,9.33,,-7.43,,-9.15,8.2,-0.95,,,
152,Southern Methodist,SWC,,10,18,64.9,69.6,-4.71,,4.44,,-7.49,6.49,-1,,,
153,Holy Cross,Patriot,,18,11,81.8,76.6,5.14,,-5.95,,6.55,-7.57,-1.02,,,
154,Bucknell,Patriot,,21,9,81.4,74.7,6.63,,-6.59,,3.4,-4.51,-1.11,,,
155,Eastern Kentucky,OVC,,19,14,75.1,73.5,1.55,,-1.9,,-2.48,1.2,-1.28,,,
156,Kent State,MAC,,9,19,62.4,63.8,-1.32,,1.24,,-8.24,6.92,-1.31,,,
157,Middle Tennessee,OVC,,16,11,77.3,73.4,3.96,,-1.7,,-1.66,0.26,-1.4,,,
158,Milwaukee,Ind,,20,8,79.9,72.1,7.82,,-8.1,,0.64,-2.24,-1.6,,,
159,San Diego,WCC,,14,14,69.5,69.2,0.36,,-1.31,,-5.61,3.68,-1.94,,,
160,Miami (FL),Big East,,8,24,60.7,67.5,-6.84,,6.63,,-9.58,7.51,-2.07,,,
161,Eastern Illinois,Mid-Cont,,17,14,68.1,68.9,-0.84,,-0.68,,-5.96,3.61,-2.35,,,
162,Tennessee Tech,OVC,,14,15,87.3,85,2.24,,-1.07,,8.46,-10.84,-2.38,,,
163,Louisiana-Monroe,Southland,,19,10,77.8,71.1,6.76,,-5.08,,-2.61,0.22,-2.39,,,
164,Cleveland State,Mid-Cont,,16,13,70.3,69.1,1.24,,-2.64,,-3.69,1.27,-2.42,,,
165,Loyola (MD),MAAC,,14,14,71.7,71.9,-0.18,,-2.39,,-4.25,1.68,-2.57,,,
166,Northern Iowa,MVC,,10,18,64.8,68.5,-3.64,,1.75,,-4.96,2.34,-2.62,,,
167,Texas-Arlington,Southland,,16,13,81.1,74.3,6.79,,-5.57,,2.27,-5.13,-2.86,,,
168,Boise State,Big Sky,,16,13,68.7,67.2,1.52,,-3.8,,-7.63,4.72,-2.91,,,
169,Iona,MAAC,,14,15,74.1,75.7,-1.55,,-1.4,,0.86,-3.88,-3.02,,,
170,Saint Louis,GMWC,,5,23,70.5,79.6,-9.18,,5.96,,2.15,-5.41,-3.26,,,
171,Monmouth,NEC,,20,9,64.5,58.7,5.86,,-9.21,,-13.35,10.08,-3.27,,,
172,Towson,ECC,,17,13,83.4,76.2,7.2,,-9.94,,4.31,-7.6,-3.29,,,
173,UC-Irvine,Big West,,7,22,68.3,75.8,-7.55,,4.17,,-2.78,-0.6,-3.38,,,
